Santhali_word,English_words,Grammer,Audio_links
bindi,spider,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN44_M_spider.mp3
bip sukri,boar,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN6_F_boar.mp3
bipiɽiəŋ,butterfly,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN7_F_butterfly_2.mp3
bir sukri,wildboar,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN51_M_wildboar.mp3
bisi jɑŋ,backbone,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP38_G_backbone.mp3
bisiʤəŋ,"JitenderNathHasda,",Speaker:,http://talkingdictionary.swarthmore.edu/santali/?entry=453
bitrire,in,adposition,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AdP19_F_in.mp3
biʈire ~ bitire,among,adposition,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AdP3_F_among.mp3
bohoʔ,head,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP1_J_head.mp3
bohoʔ jeɑŋ,skull,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP13_G_skull.mp3
bokoɲ,youngerbrother,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU6_M_youngerbrother.mp3
botərək’,frightened,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj31_M_frightened.mp3
bɔhɔ,Head,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_GRM_Head.mp3
bɔhɔ ʤaŋ,Skull,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_JNH_Skull.mp3
bɔrɔ,Lung,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_GRM_Lung.mp3
bɔtəroʔ,scared,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adj58_F_scared.mp3
buɖiə,axe,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult3_F_axe_2.mp3
buɖiə,axe,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Cult3_F_axe_2.mp3
